MAV,RMS,ZC,WL,STD,label
25.7,25.747621249350395,2,24,1.5652475842498528,rest
42.18,47.4832602082039,8,445,21.80613675092404,rest
27.94,28.00321410124202,10,35,1.8805318396666406,rest
26.4,26.429528940183552,9,28,1.2489995996796797,rest
26.92,26.975544480139785,10,30,1.7302023003105735,rest
28.68,29.05236651290218,1,96,4.636550441869472,rest
42.6,43.15136150806832,8,159,6.876045375068434,rest
32.96,33.04239700748116,7,50,2.3320377355437456,rest
36.48,37.65156039263181,1,202,9.319313279421397,rest
34.3,34.62744576199636,5,52,4.750789408087881,rest
32.02,34.1581615430339,2,249,11.895360440104367,rest
38.54,38.986920883804096,6,142,5.8862891536179225,rest
30.04,31.315172041679734,6,87,8.84524731140967,rest
154.74,161.3338774095509,4,492,45.65251800284405,rest
87.8,93.29715965665837,1,203,31.55186206866403,rest
50.04,51.07484703843958,1,84,10.229291275547881,rest
28.62,28.67786602939626,13,49,1.8208789086592223,rest
27.7,27.73625785862253,12,45,1.4177446878757824,rest
25.58,25.643322717619885,4,28,1.800999722376436,rest
25.86,25.885517186256873,15,36,1.149086593777858,rest
29.84,39.91691370835175,1,180,26.512910062835424,rest
64.04,115.0844907013973,3,1210,95.62070068766491,rest
24.1,24.120116085956138,6,24,0.9848857801796104,rest
344.34,488.3419089121883,2,2196,346.27703417928257,rest
856.86,868.0855602992139,3,1028,139.15272329350944,rest
870.48,870.4956519133224,13,189,5.220114941263267,rest
217.18,311.13826508483334,5,2874,222.80006193895008,rest
467.74,600.1292694078502,3,2549,375.9979154197533,rest
595.42,713.0699965641522,3,2720,392.3567810042283,rest
276.64,336.5332673005746,3,2245,191.63754955644785,rest
33.86,37.693235467388575,1,73,16.561412983196814,rest
22.68,22.68744145997957,17,20,0.581033561853358,rest
22.42,22.434348664492134,11,22,0.8022468448052631,rest
23.04,23.083327316485377,6,25,1.4136477637657832,rest
22.54,22.54994456755936,14,24,0.6696267617113282,rest
28.76,29.03997245177757,4,55,4.022735387767881,rest
29.6,29.782545223670862,4,58,3.2924155266308657,rest
24.44,24.46630335788388,7,25,1.1341957503006261,rest
24.92,24.973586046060746,7,36,1.6351146748775756,rest
26.4,26.6668333328125,4,43,3.7629775444453557,rest
24.1,24.13337937380507,7,23,1.2688577540449522,rest
23.0,23.01303978182804,22,27,0.7745966692414834,rest
23.94,23.96288797286337,13,29,1.047091209016674,rest
24.14,24.175607541486936,8,33,1.3116401945655676,rest
24.32,24.351591323771842,6,22,1.24,rest
24.14,24.156572604572858,11,22,0.8946507698538017,rest
23.32,23.328951969602063,10,18,0.6462197768561405,rest
22.88,22.887551201471947,10,14,0.5878775382679627,rest
22.78,22.801315751508728,7,21,0.9856977224281286,rest
22.06,22.07034209068813,12,22,0.6755738301621815,rest
22.54,22.555265460641337,11,23,0.8296987405076616,rest
22.3,22.312776608929692,9,19,0.7549834435270749,rest
22.58,22.594247055390007,15,22,0.8022468448052631,rest
24.48,24.503061033266842,12,28,1.0628264204469138,rest
30.42,30.550613741789217,6,52,2.821985116899095,rest
26.66,26.702434345954302,9,37,1.5047923444781344,rest
29.32,29.641187560554993,2,62,4.351735286066927,rest
23.46,23.518078152774304,7,26,1.6517869111964776,rest
36.16,55.639194818041716,2,567,42.286811182684374,rest
23.96,24.031645802982368,3,24,1.8542923178398816,rest
23.48,23.52190468478265,10,35,1.4034243834279065,rest
23.84,23.85875101508878,7,22,0.9457272334029511,rest
23.7,23.72382768441889,14,29,1.0630145812734648,rest
23.58,23.600423725009684,15,35,0.9816312953446421,rest
22.84,22.86307065990918,11,29,1.0268398122394748,rest
42.72,66.01757341799227,4,939,50.332113009489284,rest
23.34,23.368782595591068,9,27,1.1594826432508596,rest
101.54,120.17196012381591,1,455,64.272298854172,rest
252.26,255.20850299314088,3,628,38.68168041851336,rest
