MAV,RMS,ZC,WL,STD,label
182.0,278.74117026374125,2,1984,211.1223342046028,hard_flex
47.48,53.24058602231948,3,132,24.08754034765692,hard_flex
37.92,38.81391503056604,5,88,8.282125331097086,hard_flex
25.18,25.19404691588868,11,25,0.8411896337925238,hard_flex
24.66,24.6734675309329,12,23,0.8151073548925932,hard_flex
24.96,24.969581494290207,10,25,0.6916646586316232,hard_flex
25.84,25.91756161370124,4,32,2.003596765818911,hard_flex
28.74,28.933371735765604,2,57,3.3395209237254377,hard_flex
31.92,32.57053883496556,2,69,6.477159871425129,hard_flex
26.74,26.76378149664206,15,36,1.128007092176286,hard_flex
25.84,25.851112161762014,16,30,0.7578918128598566,hard_flex
25.44,25.460557731518765,14,32,1.022936948203554,hard_flex
26.22,26.23242268643901,16,36,0.8072174428244225,hard_flex
25.78,25.794960748177154,14,27,0.87840765023991,hard_flex
30.92,34.0575982711641,1,80,14.27843128638437,hard_flex
543.7,634.1411041716188,1,1355,326.38206139431134,hard_flex
931.56,931.6122369312245,2,122,9.86541433493799,hard_flex
864.5,870.6509174175377,5,960,103.30909930882177,hard_flex
675.68,690.04173786808,5,1344,140.05048232690953,hard_flex
841.16,850.1524333906244,1,659,123.32483286021514,hard_flex
870.42,876.8514697484403,3,894,106.00718654883734,hard_flex
753.2,771.0173020107915,5,1179,164.79514555957044,hard_flex
368.7,374.12348228893626,11,1022,63.471962314080066,hard_flex
236.2,238.60905263631554,7,630,33.82070371828475,hard_flex
175.88,179.9105333214262,5,505,37.86853047056355,hard_flex
164.66,166.16347372392045,8,434,22.302116491490217,hard_flex
172.06,173.48792465183277,5,353,22.2129781884375,hard_flex
166.76,169.57263930245352,9,592,30.756826884449573,hard_flex
155.18,161.86889756837166,3,531,46.051141136784004,hard_flex
223.84,227.57653657615936,5,632,41.069872169267825,hard_flex
475.96,485.9380618967812,4,1297,97.96876236842029,hard_flex
255.06,261.23296116684816,5,581,56.45402022885527,hard_flex
159.14,161.2568758223971,9,524,26.04304897664634,hard_flex
167.48,168.17954691341038,8,396,15.3234982951022,hard_flex
189.28,190.5184505500714,4,507,21.687821467358127,hard_flex
161.5,162.66278000821208,10,480,19.414685163555962,hard_flex
165.58,167.82866262948053,3,454,27.381081059739035,hard_flex
405.86,441.82817927334605,1,1098,174.6132881541379,hard_flex
517.96,521.829090795061,12,1314,63.42742624448828,hard_flex
302.6,327.1190608937364,1,805,124.25827940221932,hard_flex
192.48,193.6422474564887,8,475,21.184182778667672,hard_flex
179.72,181.22979887424694,8,536,23.34441260773121,hard_flex
192.96,193.56445954771758,7,463,15.285234705427326,hard_flex
157.16,159.11329297076344,5,455,24.855067893691217,hard_flex
158.72,161.8326295899563,3,465,31.587364562432242,hard_flex
208.22,210.1111610552852,9,582,28.12706170221127,hard_flex
266.64,267.59476825977,13,648,22.584738209684875,hard_flex
210.5,212.50896451679398,6,556,29.151500818997295,hard_flex
182.88,184.33480409298727,6,603,23.113320834531763,hard_flex
140.92,143.35843191106687,5,410,26.328570033330713,hard_flex
142.1,143.58586281385783,8,440,20.60315509818824,hard_flex
